                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
           ɔʁɡanizˈe : organisée, organiser, organisé, organisées, organisés
            ytilizˈe : utiliser, utilisées, utilisé, utilisés, utilisée
               aʃtˈe : achetée, acheté, achetées, acheter, achetés
                vˈɛʁ : verres, vers, vert, verts, verre
               kʁeˈe : créé, créer, créées, créés, créée
             limitˈe : limitées, limités, limiter, limitée, limité
         pʁivileʒjˈe : privilégiés, privilégiées, privilégié, privilégier, privilégiée
            ʁealizˈe : réaliser, réalisé, réalisées, réalisés, réalisée
              ʃaʁʒˈe : chargée, chargé, chargées, charger, chargés
              plasˈe : placer, placé, placées, placée, placés
             adaptˈe : adaptés, adaptée, adaptées, adapter, adapté
            ɛ̃stalˈe : installée, installer, installées, installés, installé
              sityˈe : situer, situées, situés, située, situé
            devlɔpˈe : développer, développés, développé, développées, développée
          ɑ̃ʁʒistʁˈe : enregistrée, enregistré, enregistrés, enregistrer, enregistrées
            efɛktyˈe : effectués, effectuée, effectuées, effectuer, effectué
                 ˈɛl : elle, ailes, elles, el, l
             etablˈi : établis, établie, établies, établit, établi
             pybliˈe : publiée, publiés, publier, publiées, publié
               kˈɔ̃t : compte, comptes, conte, comptent, comte
               aplˈe : appelée, appelé, appelées, appeler, appelés
               pasˈe : passée, passées, passé, passer, passés
                kˈuʁ : courent, courts, court, cour, cours
              vɛʁsˈe : verser, versé, versés, versée, versées
                ʒˈɑ̃ : gens, jeans, jan, jean, j'en
              fuʁnˈi : fournit, fournies, fournie, fourni, fournis
           pʁezɑ̃tˈe : présenté, présentée, présentées, présenter, présentés
             ɛ̃pozˈe : imposée, imposé, imposer, imposées, imposés
               ʒyʒˈe : jugée, jugées, jugé, juger, jugés
            ɡaʁɑ̃tˈi : garanti, garantie, garantis, garantit, garanties
             avɑ̃sˈe : avancer, avancés, avancé, avancée, avancées
               dɔnˈe : donné, donner, donnée, données, donnés
                bˈaʁ : bar, bars, barres, barre, bart
        tʁadisjɔnˈɛl : traditionnelles, traditionnelle, traditionnels, traditionnel
               mˈaʁk : marque, marques, marc, mark
               elvˈe : élevée, élevées, élevés, élevé
              ɔkypˈe : occupés, occuper, occupé, occupée
           esɑ̃sjˈɛl : essentiels, essentielles, essentielle, essentiel
                sˈɛ̃ : saint, sain, sein, st
          akɔ̃panjˈe : accompagner, accompagné, accompagnée, accompagnés
                ljˈe : lié, liée, liées, liés
               bazˈe : basés, basé, basée, basées
              sivˈil : civiles, civile, civils, civil
                sˈal : salle, sales, salles, sale
          detɛʁminˈe : déterminée, déterminées, déterminer, déterminé
                  ˈɛ : est, ait, aient, eh
             sepaʁˈe : séparer, séparé, séparés, séparée
                 ˈɑ̃ : an, hans, ans, en
                nˈɔ̃ : nom, non, noms, n'ont
              tʁɛtˈe : traiter, traitées, traités, traité
               tənˈy : tenue, tenus, tenues, tenu
              maʒˈœʁ : majeure, majeures, majeurs, majeur
                vˈɛ̃ : vingt, vins, vain, vin
            ɔfisjˈɛl : officiels, officiel, officielles, officielle
                lˈɔ̃ : l'ont, longs, long, l'on
                isˈy : issue, issus, issu, issues
              ɑ̃tʁˈe : entrées, entrée, entré, entrer
           kɔ̃sɛʁnˈe : concerné, concernée, concernées, concernés
               kʁwˈa : crois, croix, croit, croient
               kɔtˈe : cotés, cotées, coté, cotée
              anyˈɛl : annuelles, annuelle, annuels, annuel
            dɛstinˈe : destinée, destinées, destiné, destinés
           kɔ̃sakʁˈe : consacré, consacrée, consacrer, consacrés
               dɔtˈe : dotée, doté, dotés, doter
         spesjalizˈe : spécialisées, spécialisée, spécialisés, spécialisé
                 mˈo : mots, maux, mo, mot
           ɛ̃feʁjˈœʁ : inférieure, inférieurs, inférieur, inférieures
              pʁevˈy : prévue, prévus, prévu, prévues
            dəmɑ̃dˈe : demander, demandé, demandée, demandés
              sinjˈe : signer, signés, signée, signé
             definˈi : défini, définis, définie, définit
               nwˈaʁ : noires, noire, noirs, noir
              fɛʁmˈe : fermés, fermée, fermé, fermer
         ɛ̃dividyˈɛl : individuel, individuelles, individuelle, individuels
                bˈɛl : bel, bell, belles, belle
                vʁˈɛ : vrai, vraie, vrais, vraies
               dyʁˈe : durer, durée, duré, durées
                pˈus : pouces, poussent, pousse, pouce
              mɛjˈœʁ : meilleur, meilleure, meilleurs, meilleures
              tuʁnˈe : tournai, tourné, tourner, tournée
              paʁtˈi : parties, parti, partie, partis
                pˈɛʁ : paire, pairs, perd, pair
           kyltyʁˈɛl : culturelles, culturel, culturelle, culturels
               apˈɛl : appelle, appels, appel, appellent
              ʃwazˈi : choisi, choisis, choisie, choisit
               mənˈe : menées, mener, mené, menée
                fˈɔʁ : forts, ford, fort, for
             pyblˈik : publique, publics, publiques, public
            kɔ̃pozˈe : composer, composé, composés, composée
                dwˈa : doit, doigts, doigt, dois
               vənˈy : venue, venu, venus, venues
              fytˈyʁ : futur, futures, future, futurs
               pozˈe : posée, poser, posé, posées
          ɛksteʁjˈœʁ : extérieur, extérieure, extérieures, extérieurs
           evɑ̃tyˈɛl : éventuels, éventuel, éventuelles, éventuelle
         ɛ̃dystʁiˈɛl : industriel, industrielles, industrielle, industriels
               ʒeʁˈe : gérée, gérés, gérer, géré
        pʁɔfɛsjɔnˈɛl : professionnel, professionnels, professionnelle, professionnelles
              asyʁˈe : assuré, assurés, assurée, assurer
              pɔʁtˈe : porter, porté, portée, portés
           sypeʁjˈœʁ : supérieurs, supérieure, supérieur, supérieures
                sˈœl : seule, seul, seules, seuls
              ʁeynˈi : réunit, réunies, réunis, réuni
            pʁɔteʒˈe : protégés, protégé, protégée, protéger
               kɔnˈy : connus, connues, connue, connu
                 kˈo : qu'au, qu'aux, quo, co
                 sˈɛ : c'est, sait, s'est, sais
               sitˈe : citer, cités, cité, citées
              vɑ̃dˈy : vendus, vendu, vendues, vendue
             diʁˈɛkt : directes, directs, direct, directe
              dezˈiʁ : désirs, désir, désire, désirent
        ɛksɛpsjɔnˈɛl : exceptionnelle, exceptionnels, exceptionnel, exceptionnelles
             ɑ̃ɡaʒˈe : engagés, engagé, engager, engagée
            kalifjˈe : qualifié, qualifiée, qualifiés, qualifier
              maʁjˈe : mariée, mariés, marier, marié
               klˈɛʁ : claire, clair, claires, clairs
              aʁivˈe : arrivés, arrivée, arrivé, arriver
              syivˈi : suivie, suivis, suivi, suivies
           pɛʁsɔnˈɛl : personnels, personnel, personnelles, personnelle
                 vˈi : vis, vie, vies, vit
             aktyˈɛl : actuel, actuelle, actuelles, actuels
            natyʁˈɛl : naturels, naturel, naturelles, naturelle
              pɑ̃sˈe : pensez, penser, pensée, pensé
